StdLng@Record_ID,Underresourced,NumberofEntries,Priority1Sources,NotStandardNote,Count@ReleaseData,masterlanguagelist,glottolog@id,ISO639,StandardLanguageName,PnyStatsLanguages::Pny8inc,Count@Concepticon,Family,Langs_Subgroups::SubgroupName,EtymologyofName,StdHomophones,Homophoneinc,Latitude,Longitude,Ascii_Name,Subgroup_ID,NumberofVarieties,note about inclusion,DateModified,LastModifiedBy,AIATSIS_Code,INC@MCTowner,Sources::ChirilaRelease,RoundedLat,RoundedLong
4,,3280,2936,,2,yes,yuwa1243,kld,Yuwaaliyaay,,1743,Pama-Nyungan,Central NSW,no-having,,,-29.84291122144783,149.806501013693,Yuwaaliyaay,4,4,,2021-01-28 17:18:08,bowern,D54*,,Phase1,-29.84,149.81
5,,3794,2959,,2,yes,yuwa1242,kld,Yuwaalaraay,y,2017,Pama-Nyungan,Central NSW,no-having,,,-29.85302243209663,147.9291115132208,Yuwaalaraay,4,4,,2021-01-28 17:18:08,bowern,D27,,email for permission,-29.85,147.93
7,,112,0,not sure about affiliation,1,yes,yuru1264,ljx,Yuru,x,103,Pama-Nyungan,Dyirbalic,,,,-20.03621958398103,147.7312783522678,Yuru,7,3,,2021-01-28 17:18:08,bowern,E62,,Phase1,-20.04,147.73
12,,8029,7968,,,yes,yul1238,mpj,Yulparija,y,3379,Pama-Nyungan,Wati,compass,,y,-20.81469107208499,124.5495702350102,Yulparija,38,6,,2021-01-28 17:18:08,bowern,A67,Y,,-20.81,124.55
14,,,,,,yes,yugu1250,ygu,Yugul,,,Arnhem,Marran,,,,-14.67418893835911,134.1838321320007,Yugul,50,1,,2021-01-28 17:18:08,bowern,N85,,,-14.67,134.18
17,check,215,0,wrong subgroup?,2,yes,yuga1244,yub,Yugambal,,198,Pama-Nyungan,Bandjalangic,check,,,-29.49940565920328,151.6720891548389,Yugambal,2,6,,2021-01-28 17:18:08,bowern,E11,,Phase1,-29.5,151.67
20,,1228,830,,2,yes,yort1237,xyy,Yorta Yorta,y,871,Pama-Nyungan,Yotayotic,no-redup,,,-36.04695549929136,144.818878928009,YortaYorta,43,4,,2021-01-28 17:18:08,bowern,D2,Y,,-36.05,144.82
23,check,631,54,,1,yes,yara1253,xth,Yitha-Yitha,x,275,Pama-Nyungan,Lower Murray,0,,,-33.94708739900517,141.5854211046575,YithaYitha,18,7,OK,2021-01-28 17:18:08,bowern,D7,,Phase1,-33.95,141.59
26,,490,0,,2,yes,yira1239,ljw,Yirandali,y,370,Pama-Nyungan,Maric,0,,,-20.65810117783444,143.9625915626368,Yirandali,20,4,,2021-01-28 17:18:08,bowern,L42,,Phase1,-20.66,143.96
27,,6098,4751,e,,yes,yiry1247,yiy,Yir-Yoront,x,1966,Pama-Nyungan,Paman,this language,,,-15.15400920818165,141.7960016852487,YirYoront,30,2,,2021-01-28 17:18:08,bowern,Y72,Y,,-15.15,141.8
28,,72,71,e,,yes,yinw1236,yxm,Yinwum,x,61,Pama-Nyungan,Paman,,,,-12.52068955779324,142.7036224974162,Yinwum,30,1,,2021-01-28 17:18:08,bowern,Y29,,,-12.52,142.7
29,,394,136,,4,yes,sout2765,ygi,Yiningay,y,335,Pama-Nyungan,Maric,0,,,-20.96048468873385,143.5190147180098,Yiningay,20,7,,2021-01-28 17:18:08,bowern,L41,,Phase 2,-20.96,143.52
31,,2404,2404,,,yes,pany1241,ywg,Yinhawangka,x,365,Pama-Nyungan,Ngayarta,0,,,-23.91785237216363,117.56282794102,Yinhawangka,24,1,,2021-01-28 17:18:08,bowern,A48,,,-23.92,117.56
32,,512,273,,1,yes,ying1247,yia,Yingkarta,x,415,Pama-Nyungan,Kartu,,,,-24.65754270759562,115.8991492850522,Yingkarta,15,7,,2021-01-28 17:18:08,bowern,W19,Y,Phase 3,-24.66,115.9
33,,247,167,yil also given as Bularnu; split,1,yes,yind1248,yil,Yindjilandji,y,207,Pama-Nyungan,Warluwaric,,,,-19.206136,137.392852,Yindjilandji,36,4,,2021-01-28 17:18:08,bowern,G14,,,-19.21,137.39
34,,5302,4853,,,yes,yind1247,yij,Yindjibarndi,y,2113,Pama-Nyungan,Ngayarta,,,,-22.10432211046865,118.0814646375919,Yindjibarndi,24,2,,2021-01-28 17:18:08,bowern,G14,,,-22.1,118.08
37,,173,0,,2,yes,--,--,Yilba,,161,Pama-Nyungan,Maric,,,,-20.57274634349151,145.5789512273527,Yilba,20,4,,2021-06-03 15:06:17,bowern,E55,,Phase1,-20.57,145.58
40,,3125,2933,,1,yes,yidi1250,yii,Yidiny,y,1113,Pama-Nyungan,Paman,group name,,,-17.11594422180313,145.7736813596025,Yidiny,30,4,,2021-01-28 17:18:08,bowern,Y117,,Phase 2,-17.12,145.77
42,,1444,1288,,2,yes,yayg1236,yyg,Yaygir,x,674,Pama-Nyungan,Gumbaynggiric,,,,-29.89,153.167,Yaygir,11,3,,2021-01-28 17:18:08,bowern,E10,,Phase1,-29.89,153.17
43,,7050,4344,,4,yes,yawu1244,ywr,Yawuru,Ox,2580,Nyulnyulan,Eastern Nyulnyulan,group name,,,-18.20094984476134,122.5732262509664,Yawuru,8,3,,2021-01-28 17:18:08,bowern,K48*,Y,Phase 2,-18.2,122.57
44,,344,0,,,yes,yawi1239,jbw,Yawijibaya,Ox,263,Worrorran,Western Worrorran,0,,,-16.14740025514567,123.3986328509338,Yawijibaya,53,1,,2021-06-03 14:42:40,bowern,K53*,,,-16.15,123.4
45,,1791,44,,1,yes,yawa1258,yww,Yawarrawarrka,y,743,Pama-Nyungan,Karnic,good language,,,-26.49578046778198,140.609109024611,Yawarrawarrka,14,2,,2021-01-28 17:18:08,bowern,L23,,,-26.5,140.61
46,,,,e,,yes,--,yty,Yatay,,,Pama-Nyungan,Paman,,,,-10.65033606945353,142.6285670579192,Yatay,30,1,,2021-06-03 15:02:13,bowern,Y232*,,,-10.65,142.63
48,,663,532,,3,yes,dier1240,yry,Yarluyandi,y,400,Pama-Nyungan,Karnic,0,,,-25.83704895945445,139.5843623220322,Yarluyandi,14,2,,2021-01-28 17:18:08,bowern,L31,,Phase1,-25.84,139.58
49,,88,83,,,yes,yarl1236,yxl,Yardliyawarra,x,74,Pama-Nyungan,Yardli,0,,,-29.79542817584353,141.7735309080549,Yardliyawarra,41,3,,2021-01-28 17:18:08,bowern,L7,,,-29.8,141.77
50,,804,7,,0,yes,narr1259,nay,Yaraldi,Sp,356,Pama-Nyungan,Lower Murray,,,,-35.57559949747515,139.2054326885697,Yaraldi,18,3,X,2021-01-28 17:18:08,bowern,S8,,,-35.58,139.21
52,,4521,4375,,,yes,yany1243,jao,Yanyuwa,y,1677,Pama-Nyungan,Warluwaric,,,,-16.49279406442598,136.7840759427357,Yanyuwa,36,3,,2021-01-28 17:18:08,bowern,N153,,,-16.49,136.78
53,,299,299,,,yes,yank1248,kdd,Yankunytjatjara,,15,Pama-Nyungan,Wati,go-having,,,-27.26048661737739,131.9855272036765,Yankunytjatjara,38,2,use Pitjantjatjara for grammar/equiv,2021-01-28 17:18:08,bowern,C4,,,-27.26,131.99
55,,,,,,yes,yang1288,jng,Yangman,,,Yangmanic,,,,,-15.02163749001514,132.737972611509,Yangman,,1,,2021-01-28 17:18:08,bowern,N68,,,-15.02,132.74
61,,3290,2070,,3,yes,yand1253,ynd,Yandruwandha,y,1738,Pama-Nyungan,Karnic,good language,,,-27.60748621786918,140.5779751867449,Yandruwandha,14,8,,2021-01-28 17:18:08,bowern,L18,,,-27.61,140.58
62,,317,332,,1,yes,yand1261,xyb,Yandjibara,17,175,Pama-Nyungan,Maric,,,,-24.58,145.39,Yandjibara,20,1,,2021-06-03 14:58:02,bowern,L44*,,Phase 2,-24.58,145.39
63,,267,144,,2,yes,yand1251,yda,Yanda,x,232,Pama-Nyungan,Maric,,,,-21.23270507785518,140.5134755999716,Yanda,20,4,,2021-01-28 17:18:08,bowern,G9,,Phase 2,-21.23,140.51
64,,3035,2987,,1,yes,yann1237,jay,Yan-nhangu,y,1132,Pama-Nyungan,Yolŋu,this,,,-12.02531880142025,134.9636468625033,Yannhangu,42,13,,2021-01-28 17:18:08,bowern,N212*,Y,,-12.03,134.96
67,,2319,805,,3,yes,yala1262,ylr,Yalarnnga,y,1375,Pama-Nyungan,Kalkatungic,,,,-21.97436706367981,139.9133496553109,Yalarnnga,12,4,,2021-01-28 17:18:08,bowern,G8,Y,Phase1,-21.97,139.91
68,,1175,288,,1,yes,yaga1256,yxg,Yagara,y,548,Pama-Nyungan,Durubulic,,,,-27.87647555019528,152.4602773478736,Yagara,6,3,,2021-01-28 17:18:08,bowern,E23,,Phase1,-27.88,152.46
71,,219,206,,1,yes,yabu1234,yxy,Yabula-Yabula,y,194,Pama-Nyungan,Yotayotic,no-redup,,,-35.76116311802772,145.2320912804122,YabulaYabula,43,3,,2021-06-03 14:43:05,bowern,S38,,Phase1,-35.76,145.23
80,,282,179,,0,yes,--,wnn,Wunumara,,191,Pama-Nyungan,Mayi,unalaysable?,,,-21.1251331784609,141.7477143306983,Wunumara,22,3,,2021-06-03 15:01:11,bowern,G16.1,,,-21.13,141.75
81,,3269,2076,,0,yes,wila1240,wub,Wunambal,Ox,1352,Worrorran,Northern Worrorran,,,,-15.0049668187093,125.5973866389213,Wunambal,54,4,,2021-01-28 17:18:08,bowern,K22,,,-15,125.6
88,,1449,1366,,1,yes,wulg1239,qgu,Wulguru,y,833,Pama-Nyungan,Dyirbalic,,,,-19.85103121152701,146.3453956874499,Wulguru,7,1,,2021-01-28 17:18:08,bowern,Y135,,Phase1,-19.85,146.35
92,check,7,,,,yes,--,--,Wudjari,,7,Pama-Nyungan,Southwest (Nyungar),,,,-33.7616882547628,122.1094205915342,Wudjari,27,3,,2021-06-03 15:06:21,bowern,W8,,,-33.76,122.11
94,,5099,5037,,3,yes,nung1290,nuy,Wubuy,Ox,428,Arnhem,East Arnhem,,,,-13.8,135.82,Wubuy,64,2,,2021-01-28 17:18:08,bowern,N128,,Phase1,-13.8,135.82
98,check,,,,,yes,wotj1234,xwt,Wotjobaluk,,,Pama-Nyungan,Kulin,man/clan name,,,-35.82104542032,141.4179142153685,Wotjobaluk,16,2,dialect of Wemba-Wemba,2021-06-03 15:02:02,bowern,S88*,,,-35.82,141.42
